state,year,race,deaths,population
Utah,2022.0,White,,3043600.0
Utah,2023.0,Black or African American,,55081.0
Utah,2023.0,White,,3068788.0
Vermont,2021.0,Black or African American,0.0,9393.0
Vermont,2021.0,White,0.0,607082.0
Vermont,2022.0,Black or African American,0.0,9830.0
Vermont,2022.0,White,0.0,607189.0
Vermont,2023.0,Black or African American,0.0,10445.0
Vermont,2023.0,White,0.0,606164.0
Virginia,2021.0,Black or African American,24.0,1729436.0
Virginia,2021.0,White,35.0,5942209.0
Virginia,2022.0,Black or African American,25.0,1737910.0
Virginia,2022.0,White,31.0,5947332.0
Virginia,2023.0,Black or African American,11.0,1744373.0
Virginia,2023.0,White,18.0,5954674.0
Washington,2021.0,Black or African American,,348170.0
Washington,2021.0,White,15.0,5995925.0
Washington,2022.0,Black or African American,,357430.0
Washington,2022.0,White,,5982306.0
Washington,2023.0,Black or African American,,364647.0
Washington,2023.0,White,15.0,5963225.0
West Virginia,2021.0,Black or African American,,66240.0
West Virginia,2021.0,White,,1660372.0
West Virginia,2022.0,Black or African American,,66210.0
West Virginia,2022.0,White,,1648034.0
West Virginia,2023.0,Black or African American,0.0,67346.0
West Virginia,2023.0,White,,1642905.0
Wisconsin,2021.0,Black or African American,,398693.0
Wisconsin,2021.0,White,11.0,5106775.0
Wisconsin,2022.0,Black or African American,,390428.0
Wisconsin,2022.0,White,15.0,5103755.0
Wisconsin,2023.0,Black or African American,,392333.0
Wisconsin,2023.0,White,12.0,5109837.0
Wyoming,2021.0,Black or African American,0.0,7087.0
Wyoming,2021.0,White,,534669.0
Wyoming,2022.0,Black or African American,,7162.0
Wyoming,2022.0,White,,536573.0
Wyoming,2023.0,Black or African American,0.0,7048.0
Wyoming,2023.0,White,,538988.0
