"Notes","State","State Code","Year","Year Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Louisiana","22","2023 ","2023","Black or African American","2054-5",18,1491010,Unreliable
,"Louisiana","22","2023 ","2023","White","2106-3",Suppressed,2860981,Suppressed
,"Maine","23","2018","2018","Black or African American","2054-5",0,21877,Unreliable
,"Maine","23","2018","2018","White","2106-3",Suppressed,1265648,Suppressed
,"Maine","23","2019","2019","Black or African American","2054-5",Suppressed,22691,Suppressed
,"Maine","23","2019","2019","White","2106-3",Suppressed,1269326,Suppressed
,"Maine","23","2020","2020","Black or African American","2054-5",0,23786,Unreliable
,"Maine","23","2020","2020","White","2106-3",Suppressed,1273121,Suppressed
,"Maine","23","2021","2021","Black or African American","2054-5",Suppressed,24915,Suppressed
,"Maine","23","2021","2021","White","2106-3",Suppressed,1292011,Suppressed
,"Maine","23","2022","2022","Black or African American","2054-5",0,27405,Unreliable
,"Maine","23","2022","2022","White","2106-3",Suppressed,1301207,Suppressed
,"Maine","23","2023 ","2023","Black or African American","2054-5",0,29857,Unreliable
,"Maine","23","2023 ","2023","White","2106-3",Suppressed,1307850,Suppressed
,"Maryland","24","2018","2018","Black or African American","2054-5",13,1867592,Unreliable
,"Maryland","24","2018","2018","White","2106-3",11,3552355,Unreliable
,"Maryland","24","2019","2019","Black or African American","2054-5",14,1878645,Unreliable
,"Maryland","24","2019","2019","White","2106-3",14,3539444,Unreliable
,"Maryland","24","2020","2020","Black or African American","2054-5",11,1894597,Unreliable
,"Maryland","24","2020","2020","White","2106-3",10,3515375,Unreliable
,"Maryland","24","2021","2021","Black or African American","2054-5",13,1937665,Unreliable
,"Maryland","24","2021","2021","White","2106-3",13,3560883,Unreliable
,"Maryland","24","2022","2022","Black or African American","2054-5",15,1951658,Unreliable
,"Maryland","24","2022","2022","White","2106-3",10,3530719,Unreliable
,"Maryland","24","2023 ","2023","Black or African American","2054-5",Suppressed,1950664,Suppressed
,"Maryland","24","2023 ","2023","White","2106-3",Suppressed,3534025,Suppressed
,"Massachusetts","25","2018","2018","Black or African American","2054-5",Suppressed,617097,Suppressed
,"Massachusetts","25","2018","2018","White","2106-3",20,5577194,0.4
,"Massachusetts","25","2019","2019","Black or African American","2054-5",Suppressed,621902,Suppressed
,"Massachusetts","25","2019","2019","White","2106-3",15,5554165,Unreliable
,"Massachusetts","25","2020","2020","Black or African American","2054-5",Suppressed,634206,Suppressed
,"Massachusetts","25","2020","2020","White","2106-3",15,5522830,Unreliable
,"Massachusetts","25","2021","2021","Black or African American","2054-5",Suppressed,650915,Suppressed
,"Massachusetts","25","2021","2021","White","2106-3",11,5576809,Unreliable
,"Massachusetts","25","2022","2022","Black or African American","2054-5",Suppressed,660810,Suppressed
,"Massachusetts","25","2022","2022","White","2106-3",12,5546349,Unreliable
,"Massachusetts","25","2023 ","2023","Black or African American","2054-5",Suppressed,675303,Suppressed
,"Massachusetts","25","2023 ","2023","White","2106-3",Suppressed,5530361,Suppressed
,"Michigan","26","2018","2018","Black or African American","2054-5",12,1408392,Unreliable
,"Michigan","26","2018","2018","White","2106-3",40,7923927,0.5
,"Michigan","26","2019","2019","Black or African American","2054-5",19,1407890,Unreliable
,"Michigan","26","2019","2019","White","2106-3",33,7911567,0.4
,"Michigan","26","2020","2020","Black or African American","2054-5",13,1405195,Unreliable
,"Michigan","26","2020","2020","White","2106-3",24,7881327,0.3
,"Michigan","26","2021","2021","Black or African American","2054-5",12,1419656,Unreliable
,"Michigan","26","2021","2021","White","2106-3",20,7935511,0.3
,"Michigan","26","2022","2022","Black or African American","2054-5",16,1418343,Unreliable
,"Michigan","26","2022","2022","White","2106-3",18,7906333,Unreliable
,"Michigan","26","2023 ","2023","Black or African American","2054-5",Suppressed,1416157,Suppressed
,"Michigan","26","2023 ","2023","White","2106-3",16,7898677,Unreliable
,"Minnesota","27","2018","2018","Black or African American","2054-5",Suppressed,380414,Suppressed
,"Minnesota","27","2018","2018","White","2106-3",15,4718176,Unreliable
,"Minnesota","27","2019","2019","Black or African American","2054-5",Suppressed,395556,Suppressed
,"Minnesota","27","2019","2019","White","2106-3",12,4723931,Unreliable
,"Minnesota","27","2020","2020","Black or African American","2054-5",Suppressed,409573,Suppressed
,"Minnesota","27","2020","2020","White","2106-3",Suppressed,4711873,Suppressed
,"Minnesota","27","2021","2021","Black or African American","2054-5",0,423656,Unreliable
,"Minnesota","27","2021","2021","White","2106-3",15,4735626,Unreliable
,"Minnesota","27","2022","2022","Black or African American","2054-5",Suppressed,437333,Suppressed
,"Minnesota","27","2022","2022","White","2106-3",Suppressed,4722046,Suppressed
,"Minnesota","27","2023 ","2023","Black or African American","2054-5",Suppressed,450487,Suppressed
,"Minnesota","27","2023 ","2023","White","2106-3",Suppressed,4719651,Suppressed
,"Mississippi","28","2018","2018","Black or African American","2054-5",19,1128912,Unreliable
,"Mississippi","28","2018","2018","White","2106-3",15,1766301,Unreliable
,"Mississippi","28","2019","2019","Black or African American","2054-5",20,1124559,1.8
,"Mississippi","28","2019","2019","White","2106-3",Suppressed,1758081,Suppressed
,"Mississippi","28","2020","2020","Black or African American","2054-5",11,1123913,Unreliable
,"Mississippi","28","2020","2020","White","2106-3",Suppressed,1748392,Suppressed
,"Mississippi","28","2021","2021","Black or African American","2054-5",23,1119623,2.1
,"Mississippi","28","2021","2021","White","2106-3",15,1733991,Unreliable
,"Mississippi","28","2022","2022","Black or African American","2054-5",12,1110533,Unreliable
,"Mississippi","28","2022","2022","White","2106-3",Suppressed,1729691,Suppressed
,"Mississippi","28","2023 ","2023","Black or African American","2054-5",13,1111684,Unreliable
,"Mississippi","28","2023 ","2023","White","2106-3",Suppressed,1726482,Suppressed
,"Missouri","29","2018","2018","Black or African American","2054-5",26,724529,3.6
,"Missouri","29","2018","2018","White","2106-3",41,5082571,0.8
,"Missouri","29","2019","2019","Black or African American","2054-5",14,725579,Unreliable
,"Missouri","29","2019","2019","White","2106-3",25,5086188,0.5
,"Missouri","29","2020","2020","Black or African American","2054-5",11,725295,Unreliable
,"Missouri","29","2020","2020","White","2106-3",28,5089565,0.6
,"Missouri","29","2021","2021","Black or African American","2054-5",Suppressed,727065,Suppressed
,"Missouri","29","2021","2021","White","2106-3",27,5095927,0.5
,"Missouri","29","2022","2022","Black or African American","2054-5",Suppressed,725317,Suppressed
,"Missouri","29","2022","2022","White","2106-3",14,5095625,Unreliable
,"Missouri","29","2023 ","2023","Black or African American","2054-5",12,725454,Unreliable
,"Missouri","29","2023 ","2023","White","2106-3",13,5104983,Unreliable
,"Montana","30","2018","2018","Black or African American","2054-5",Suppressed,6237,Suppressed
,"Montana","30","2018","2018","White","2106-3",Suppressed,945132,Suppressed
,"Montana","30","2019","2019","Black or African American","2054-5",0,6389,Unreliable
,"Montana","30","2019","2019","White","2106-3",Suppressed,950211,Suppressed
,"Montana","30","2020","2020","Black or African American","2054-5",0,6527,Unreliable
,"Montana","30","2020","2020","White","2106-3",Suppressed,959778,Suppressed
,"Montana","30","2021","2021","Black or African American","2054-5",0,6894,Unreliable
,"Montana","30","2021","2021","White","2106-3",Suppressed,980015,Suppressed
,"Montana","30","2022","2022","Black or African American","2054-5",0,6993,Unreliable
,"Montana","30","2022","2022","White","2106-3",Suppressed,996179,Suppressed
,"Montana","30","2023 ","2023","Black or African American","2054-5",0,7270,Unreliable
